가로,가성,값어치,개방,고다,고전,고치다,공간활용,교통,구류,그럭저럭,금액,긋다,깨끗,나방,다방,다크,대단하다,대비,대안,도나,도도,도등,도면,도방,돋보이다,동부,로지,마인드,만점,만족도,매트리스,무뚝뚝하다,물가,미흡하다,반적,방과,방구,방사,방청,버스정류장,번화가,베개,베딩,부가,부드럽다,불만족,비용,뽀송뽀송,상태,서귀포시,서우,서쪽,설다,성비,성산일출봉,숙면,스럽지,스텝,시원시원하다,식이,신식,신하,신해,써비,아베,압도,애월,양호,언제나,외곽,우수,위생,유명,으론,은기,응대,이미지,이인상,인근,인접,입지,잠자리,저렴,저렴하다,전문성,점수,접근,접근성,좀비,중심부,중심지,청결하다,최상급,치고는,친절,쾌적,쿠션,퀄리,퀄리티,트리스,편도,편임,포근하다,푹신,푹신푹신,푹신하다,하드웨어,한가운데,훌륭
0.0,0.0,0.0,0.7128572,0.71365166,0.0,0.0,0.7110555,0.0,0.7100932,0.0,0.0,0.0,0.7075154,0.74629635,0.712382,0.71861523,0.0,0.0,0.0,0.0,0.0,0.0,0.7343323,0.72118217,0.0,0.0,0.7291509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71826416,0.7385999,0.7289244,0.73495615,0.0,0.0,0.0,0.70513535,0.76323587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119845,0.0,0.0,0.0,0.0,0.0,0.7208822,0.0,0.7375311,0.0,0.0,0.0,0.0,0.74308705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7312376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.71772325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605697,0.0,0.0,0.0,0.0,0.0,0.0,0.707066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7007126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7885746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76670015,0.7723927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987889,0.77922636,0.7696849,0.0,0.0,0.76922476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77500707,0.0,0.0,0.7674023,0.0,0.0,0.7815367,0.0,0.0,0.0,0.0,0.0,0.76513505,0.7703372,0.7744289,0.0,0.0,0.0,0.0,0.0,0.7837471,0.7782441,0.0,0.80578065,0.7970033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7807976,0.0,0.0,0.0,0.0,0.0,0.0,0.76743305,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727066,0.0,0.0,0.0,0.70870715,0.720289,0.7008126,0.0,0.73133,0.0,0.0,0.7172229,0.0,0.0,0.0,0.7060459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7030813,0.0,0.0,0.0,0.0,0.0,0.710253,0.0,0.0,0.0,0.0,0.75872695,0.0,0.0,0.0,0.0,0.0,0.70626086,0.74821,0.7088256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73097664,0.7224977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7100915,0.0,0.0,0.7040988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7041069,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7300963,0.0,0.0,0.0,0.0,0.0,0.0,0.7412779,0.7333096,0.0,0.0,0.0,0.72989416,0.0,0.0,0.75961137,0.7941507,0.79473376,0.7771754,0.0,0.7016469,0.0,0.0,0.0,0.7474489,0.0,0.0,0.0,0.0,0.7656972,0.71091557,0.0,0.0,0.0,0.7281672,0.0,0.0,0.0,0.0,0.0,0.0,0.72435373,0.0,0.0,0.7661073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7133478,0.0,0.0,0.0,0.0,0.0,0.0,0.8088719,0.0,0.0,0.77538836,0.8439872,0.0,0.0,0.7220981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74920607,0.72985256,0.0,0.7256721,0.7194065,0.0,0.7000226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7010419,0.0,0.75363255
0.0,0.0,0.0,0.0,0.0,0.0,0.7788937,0.7367048,0.0,0.7774645,0.0,0.0,0.0,0.7240247,0.71244097,0.0,0.7111025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75163037,0.0,0.0,0.0,0.0,0.0,0.72136503,0.0,0.75691795,0.0,0.0,0.74882007,0.7416736,0.70221925,0.7422704,0.0,0.0,0.7387813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81971467,0.0,0.0,0.0,0.0,0.0,0.8093076,0.75218403,0.0,0.7727085,0.708622,0.0,0.74343204,0.0,0.0,0.70850205,0.717622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76713216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035767,0.0,0.0,0.0,0.7379963,0.7571374,0.0,0.0,0.73959863,0.0,0.0,0.7458409,0.7597773,0.7773992,0.8084477,0.0,0.0,0.0
